deck_type,metric,p10,p50,p90
pitchbook,draft_hours,18.22,35.53,64.24
pitchbook,churn_hours,16.93,37.15,76.07
pitchbook,review_hours,10.59,22.65,45.26
pitchbook,total_hours,47.92,96.59,181.6
pitchbook,draft_cost,1660.2,3272.89,6003.8
pitchbook,churn_cost,1545.87,3426.29,7084.3
pitchbook,review_cost,3089.66,6710.66,13682.15
pitchbook,junior_cost,3333.11,6778.11,12851.17
pitchbook,total_cost,6623.04,13610.12,26154.05
pitchbook,churn_share_of_cost,0.19,0.25,0.33
pitchbook,churn_share_of_hours,0.31,0.39,0.47
pitchbook,churn_attributable_cost_share,0.41,0.51,0.61
pitchbook,blended_rate,123.05,141.05,161.53
ic_deck,draft_hours,14.63,26.72,45.26
ic_deck,churn_hours,11.52,24.43,48.04
ic_deck,review_hours,7.91,15.93,30.16
ic_deck,total_hours,36.0,67.96,120.15
ic_deck,draft_cost,1395.49,2605.41,4541.56
ic_deck,churn_cost,1103.21,2384.98,4808.93
ic_deck,review_cost,1319.04,2699.19,5195.19
ic_deck,junior_cost,2627.86,5046.53,9139.4
ic_deck,total_cost,4071.7,7827.19,14132.55
ic_deck,churn_share_of_cost,0.23,0.31,0.39
ic_deck,churn_share_of_hours,0.27,0.37,0.45
ic_deck,churn_attributable_cost_share,0.36,0.48,0.59
ic_deck,blended_rate,100.03,115.36,132.1
consulting_deck,draft_hours,28.99,50.09,82.63
consulting_deck,churn_hours,27.5,54.42,101.94
consulting_deck,review_hours,16.87,32.58,59.92
consulting_deck,total_hours,77.24,138.59,238.27
consulting_deck,draft_cost,2436.01,4288.52,7205.29
consulting_deck,churn_cost,2322.41,4658.66,8835.6
consulting_deck,review_cost,2475.25,4977.39,9602.39
consulting_deck,junior_cost,4969.27,9028.49,15701.22
consulting_deck,total_cost,7669.34,14117.1,24926.53
consulting_deck,churn_share_of_cost,0.26,0.33,0.41
consulting_deck,churn_share_of_hours,0.31,0.4,0.47
consulting_deck,churn_attributable_cost_share,0.42,0.53,0.62
consulting_deck,blended_rate,86.77,101.95,119.61
